Symbol,Company Name,Market Cap,Div. Yield,Div. Growth 3Y,Div. Growth 5Y,Div. Growth 10Y
VALE,Vale S.A.,72398552438,5.34%,-4.41%,-5.18%,36.31%
KMI,"Kinder Morgan, Inc.",72706790800,3.58%,1.62%,2.04%,-0.66%
NU,Nu Holdings Ltd.,72279285448,,,,
CP,Canadian Pacific Kansas City Limited,72421895850,0.82%,5.34%,3.28%,12.11%
BAM,Brookfield Asset Management Ltd.,73552827240,4.04%,,,
NTES,"NetEase, Inc.",71956535489,2.63%,24.95%,28.57%,20.17%
MSI,"Motorola Solutions, Inc.",72080844055,1.12%,11.26%,10.68%,11.35%
CI,The Cigna Group,72457883015,2.30%,9.02%,24.94%,65.29%
VLO,Valero Energy Corporation,71413444487,2.01%,4.69%,3.21%,8.13%
ROST,"Ross Stores, Inc.",71533084479,0.80%,9.48%,42.25%,12.64%
CIEN,Ciena Corporation,70168698485,,,,
CTAS,Cintas Corporation,69987218910,1.03%,14.80%,6.80%,18.00%
GM,General Motors Company,71289258788,0.94%,20.51%,47.58%,-8.19%
ELV,"Elevance Health, Inc.",68756228650,2.21%,7.46%,10.49%,10.39%
TDG,TransDigm Group Incorporated,68173755782,7.46%,37.00%,37.22%,14.13%
WBD,"Warner Bros. Discovery, Inc.",68049279200,,,,
CL,Colgate-Palmolive Company,67602558320,2.47%,3.41%,3.38%,3.17%
TEL,TE Connectivity plc,67448584203,1.24%,8.63%,8.45%,7.90%
CNI,Canadian National Railway Company,67395452925,2.37%,4.83%,6.74%,9.64%
AON,Aon plc,67182317344,0.95%,9.10%,9.77%,9.25%
PCAR,PACCAR Inc,66888514205,2.14%,-1.43%,15.33%,5.63%
TRP,TC Energy Corporation,66461072600,3.89%,-2.83%,-0.37%,4.38%
NSC,Norfolk Southern Corporation,66538437880,1.82%,1.40%,6.95%,8.63%
APD,"Air Products and Chemicals, Inc.",66509573760,2.42%,2.80%,5.40%,8.12%
MPWR,"Monolithic Power Systems, Inc.",66498404300,0.59%,27.14%,26.04%,23.64%
RSG,"Republic Services, Inc.",66320536175,1.16%,8.07%,7.88%,7.60%
DASH,"DoorDash, Inc.",66284773246,,,,
DLR,"Digital Realty Trust, Inc.",64898565050,2.58%,,1.54%,3.50%
LHX,"L3Harris Technologies, Inc.",66045624613,1.41%,2.38%,5.34%,9.26%
ET,Energy Transfer LP,66019548900,6.98%,6.16%,11.69%,1.70%
NWG,NatWest Group plc,32980591750,5.17%,5.46%,57.94%,31.46%
WPM,Wheaton Precious Metals Corp.,65765695252,0.48%,4.77%,8.92%,13.18%
MPC,Marathon Petroleum Corporation,65615055755,1.80%,10.52%,10.49%,11.55%
SRE,Sempra,64557524880,2.66%,3.88%,4.13%,6.15%
LITE,Lumentum Holdings Inc.,64067220000,,,,
PSX,Phillips 66,63818482000,3.19%,6.43%,6.23%,7.74%
TRV,"The Travelers Companies, Inc.",64278907880,1.48%,5.10%,5.11%,5.82%
NKE,"NIKE, Inc.",63008364023,3.85%,6.93%,8.65%,10.08%
IMO,Imperial Oil Limited,64233197477,1.70%,19.71%,24.45%,17.73%
RACE,Ferrari N.V.,62382494065,0.97%,19.93%,26.97%,
COR,"Cencora, Inc.",62409333399,0.75%,6.30%,5.74%,5.79%
BKR,Baker Hughes Company,62090867880,1.46%,7.05%,5.02%,
HOOD,"Robinhood Markets, Inc.",62292340687,,,,
TFC,Truist Financial Corporation,61958832000,4.19%,,2.93%,6.68%
DB,Deutsche Bank Aktiengesellschaft,61729241870,1.74%,33.18%,29.37%,10.36%
MFC,Manulife Financial Corporation,61234544800,3.56%,7.73%,8.11%,9.26%
APO,"Apollo Global Management, Inc.",60526469875,1.96%,7.77%,-0.58%,4.61%
COHR,Coherent Corp.,48761848785,,,,
MDLN,Medline Inc.,37011126000,,,,
O,Realty Income Corporation,59443050000,5.08%,2.67%,2.87%,3.43%
RELX,RELX PLC,59551186936,2.60%,9.30%,5.87%,7.08%
NET,"Cloudflare, Inc.",58787744528,,,,
TER,"Teradyne, Inc.",57611042440,0.14%,3.65%,4.14%,7.40%
OXY,Occidental Petroleum Corporation,57173897990,1.79%,16.49%,89.60%,-10.58%
AFL,Aflac Incorporated,57162048300,2.20%,12.74%,14.01%,11.24%
